Wavelength,Average Ring Flux (MJy/sr)
3.5348992059259636,11505.981229463283
3.539899205814205,11501.832639391869
3.544899205702446,11470.465830405788
3.5498992055906875,11449.65315319631
3.554899205478929,11426.746259411899
3.55989920536717,11419.860473410035
3.5648992052554114,11428.190476945001
3.5698992051436527,11410.16438664302
3.574899205031894,11378.236594660651
3.5798992049201352,11325.874161773125
3.5848992048083765,11272.848004593021
3.589899204696618,11224.387676902381
3.594899204584859,11173.456780635248
3.5998992044731004,11119.273250769604
3.6048992043613417,11063.00763552845
3.609899204249583,10993.640716391255
3.6148992041378243,10905.719431310372
3.6198992040260656,10811.481132977668
3.624899203914307,10711.985599458405
3.629899203802548,10592.345874078479
3.6348992036907894,10486.18549007101
3.6398992035790307,10371.131421366
3.644899203467272,10258.994188799004
3.6498992033555133,10133.016055888702
3.6548992032437546,9997.620504799062
